date,income,croissant,tartelette,boisson_33cl
2021-10-05,530.6,14.0,2.0,1.0
2021-10-06,562.2,18.0,9.0,4.0
2021-10-07,608.05,29.0,17.0,0.0
2021-10-08,752.7,22.0,10.0,5.0
2021-10-09,932.9,41.0,11.0,2.0
2021-10-10,1079.8,95.0,14.0,1.0
2021-10-11,506.5,31.0,7.0,0.0
2021-10-12,393.0,16.0,0.0,6.0
2021-10-13,469.7,22.0,4.0,2.0
2021-10-14,516.7,16.0,4.0,2.0
2021-10-15,484.3,43.0,4.0,0.0
2021-10-16,709.3,48.0,1.0,0.0
2021-10-17,1008.8,83.0,19.0,0.0
2021-10-18,415.1,18.0,1.0,1.0
2021-10-19,566.2,22.0,3.0,5.0
2021-10-20,525.9,19.0,7.0,0.0
2021-10-21,618.75,24.0,11.0,0.0
2021-10-22,622.75,26.0,8.0,2.0
2021-10-23,849.6999999999999,48.0,7.0,0.0
2021-10-24,1245.95,96.0,19.0,4.0
2021-10-25,662.95,25.0,7.0,2.0
2021-10-26,795.0,41.0,4.0,3.0
2021-10-27,798.6,21.0,6.0,3.0
2021-10-28,725.0,22.0,4.0,2.0
2021-10-29,913.35,30.0,8.0,3.0
2021-10-30,1134.8,69.0,11.0,1.0
2021-10-31,1492.5,119.0,28.0,1.0
2021-11-01,1372.3,46.0,26.0,0.0
2021-11-02,857.25,38.0,4.0,1.0
2021-11-03,780.55,25.0,10.0,2.0
2021-11-04,751.3,25.0,5.0,4.0
2021-11-05,819.5,33.0,9.0,1.0
2021-11-06,831.55,49.0,6.0,0.0
2021-11-07,761.6,57.0,15.0,1.0
2021-11-08,594.85,17.0,4.0,3.0
2021-11-09,631.65,14.0,7.0,6.0
2021-11-10,574.5,16.0,9.0,3.0
2021-11-11,728.65,53.0,6.0,2.0
2021-11-12,559.85,14.0,3.0,2.0
2021-11-13,654.9,33.0,12.0,0.0
2021-11-14,863.55,81.0,13.0,0.0
2021-11-15,452.3,28.0,0.0,3.0
2021-11-16,439.75,18.0,2.0,6.0
2021-11-17,446.0,19.5,4.5,4.0
2021-11-18,452.25,21.0,7.0,2.0
2021-11-19,526.85,28.0,5.0,5.0
2021-11-20,591.6,44.0,3.0,2.0
2021-11-21,720.35,69.0,17.0,2.0
2021-11-22,453.65,17.0,1.0,7.0
2021-11-23,457.65,4.0,2.0,6.0
2021-11-24,462.725,12.0,2.5,3.0
2021-11-25,467.8,20.0,3.0,0.0
2021-11-26,434.8,3.0,3.0,2.0
2021-11-27,532.0,21.0,11.0,1.0
2021-11-28,798.8,87.0,26.0,0.0
2021-11-29,404.7,16.0,1.0,3.0
2021-11-30,529.05,17.0,9.0,5.0
2021-12-01,473.29999999999995,18.0,5.5,3.0
2021-12-02,417.55,19.0,2.0,1.0
2021-12-03,451.45,33.0,3.0,0.0
2021-12-04,478.45,11.0,6.0,0.0
2021-12-05,783.4,72.0,16.0,1.0
2021-12-06,681.6,63.75,12.0,0.75
2021-12-07,579.8,55.5,8.0,0.5
2021-12-08,478.0,47.25,4.0,0.25
2021-12-09,376.2,39.0,0.0,0.0
2021-12-10,458.8,10.0,7.0,1.0
2021-12-11,583.95,34.0,3.0,2.0
2021-12-12,775.6999999999999,70.0,12.0,0.0
2021-12-13,488.25,13.0,4.0,2.0
2021-12-14,469.85,27.0,6.0,2.0
2021-12-15,484.975,25.5,7.5,2.5
2021-12-16,500.1,24.0,9.0,3.0
2021-12-17,568.5,42.0,3.0,3.0
2021-12-18,647.9,36.0,4.0,1.0
2021-12-19,819.9,75.0,12.0,0.0
2021-12-20,603.65,35.0,3.0,5.0
2021-12-21,655.5,35.0,6.0,6.0
2021-12-22,578.8,15.0,2.0,1.0
2021-12-23,770.55,32.0,4.0,0.0
2021-12-24,1824.4,36.0,17.0,1.0
2021-12-25,992.4,72.0,0.0,5.0
2021-12-26,1115.0,66.0,3.0,3.0
2021-12-27,751.55,25.0,1.0,0.0
2021-12-28,792.4,36.0,5.0,0.0
2021-12-29,704.75,25.0,0.0,1.0
2021-12-30,820.85,29.0,6.0,0.0
2021-12-31,1621.3,50.0,9.0,2.0
2022-01-01,1637.125,59.5,4.5,2.5
2022-01-02,1652.95,69.0,0.0,3.0
2022-01-03,715.5,17.0,0.0,1.0
2022-01-04,127.64999999999999,1.0,0.0,0.0
2022-01-05,356.0,14.5,3.5,0.5
2022-01-06,584.35,28.0,7.0,1.0
2022-01-07,526.1,11.0,2.0,2.0
2022-01-08,637.95,22.0,8.0,0.0
2022-01-09,877.05,56.0,0.0,2.0
2022-01-10,458.0,11.0,0.0,4.0
2022-01-11,473.25,17.0,5.0,0.0
2022-01-12,440.1,18.5,3.0,0.0
2022-01-13,406.95,20.0,1.0,0.0
2022-01-14,568.8,27.0,5.0,3.0
2022-01-15,564.65,26.0,2.0,3.0
2022-01-16,827.55,63.0,7.0,0.0
2022-01-17,548.75,13.0,0.0,3.0
2022-01-18,452.65,21.0,2.0,1.0
2022-01-19,483.47499999999997,19.5,4.5,2.5
2022-01-20,514.3,18.0,7.0,4.0
2022-01-21,520.8,10.0,2.0,0.0
2022-01-22,553.95,38.0,2.0,1.0
2022-01-23,874.4,57.0,14.0,0.0
2022-01-24,477.8,9.0,2.0,0.0
2022-01-25,505.5,11.0,2.0,0.0
2022-01-26,562.675,17.0,3.0,1.0
2022-01-27,619.85,23.0,4.0,2.0
2022-01-28,487.55,39.0,3.0,3.0
2022-01-29,539.3,31.0,12.0,0.0
2022-01-30,747.55,48.0,5.0,0.0
2022-01-31,422.55,17.0,7.0,1.0
2022-02-01,403.85,9.0,1.0,0.0
2022-02-02,442.25,13.5,4.0,2.0
2022-02-03,480.65,18.0,7.0,4.0
2022-02-04,498.75,15.0,5.0,4.0
2022-02-05,572.35,24.0,14.0,1.0
2022-02-06,804.6,77.0,7.0,0.0
2022-02-07,547.95,13.0,6.0,7.0
2022-02-08,585.8,5.0,7.0,2.0
2022-02-09,552.425,17.5,6.0,1.5
2022-02-10,519.05,30.0,5.0,1.0
2022-02-11,605.5,16.0,6.0,1.0
2022-02-12,701.2,33.0,6.0,2.0
2022-02-13,981.8,78.0,17.0,0.0
2022-02-14,649.85,22.0,5.0,5.0
2022-02-15,849.35,54.0,0.0,4.0
2022-02-16,807.3,32.5,2.5,5.5
2022-02-17,765.25,11.0,5.0,7.0
2022-02-18,828.05,17.0,11.0,1.0
2022-02-19,913.55,44.0,13.0,1.0
2022-02-20,1194.35,96.0,29.0,0.0
2022-02-21,593.45,18.0,2.0,2.0
2022-02-22,621.3,28.0,0.0,2.0
2022-02-23,675.375,24.0,6.0,1.5
2022-02-24,729.45,20.0,12.0,1.0
2022-02-25,839.0,13.0,13.0,3.0
2022-02-26,930.75,44.0,14.0,6.0
2022-02-27,1376.1,92.0,40.0,0.0
2022-02-28,635.55,15.0,8.0,1.0
2022-03-01,809.5,15.0,6.0,4.0
2022-03-02,595.65,24.0,5.0,2.0
2022-03-03,610.53,11.0,6.0,2.0
2022-03-04,692.5,26.0,0.0,1.0
2022-03-05,904.8,52.0,13.0,0.0
2022-03-06,1197.73,72.0,28.0,1.0
2022-03-07,700.1,30.0,1.0,7.0
2022-03-08,603.55,21.0,10.0,5.0
2022-03-09,427.65,19.0,9.0,4.0
2022-03-10,417.2,22.0,9.0,3.0
2022-03-11,460.7,17.0,0.0,3.0
2022-03-12,510.55,22.0,9.0,1.0
2022-03-13,947.55,57.0,16.0,0.0
2022-03-14,572.5,23.0,0.0,7.0
2022-03-15,476.2,12.0,3.0,5.0
2022-03-16,389.7,22.0,5.0,2.0
2022-03-17,503.35,12.0,9.0,3.0
2022-03-18,471.15,25.0,4.0,2.0
2022-03-19,632.1,28.0,9.0,7.0
2022-03-20,1006.75,94.0,11.0,6.0
2022-03-21,598.85,28.0,5.0,6.0
2022-03-22,581.85,27.0,4.0,5.0
2022-03-23,502.95,31.0,5.0,4.0
2022-03-24,463.0,20.0,5.0,6.0
2022-03-25,573.25,30.0,5.0,1.0
2022-03-26,825.9,46.0,10.0,3.0
2022-03-27,979.05,95.0,11.0,4.0
2022-03-28,570.7,17.0,8.0,5.0
2022-03-29,554.45,14.0,2.0,6.0
2022-03-30,362.5,17.0,4.0,0.0
2022-03-31,404.35,13.0,6.0,0.0
2022-04-01,625.9,23.0,7.0,2.0
2022-04-02,614.65,38.0,8.0,1.0
2022-04-03,789.4,69.0,7.0,0.0
2022-04-04,533.05,29.0,3.0,6.0
2022-04-05,644.05,19.0,14.0,5.0
2022-04-06,475.25,24.0,6.0,1.0
2022-04-07,617.7,27.0,7.0,4.0
2022-04-08,467.6,17.0,10.0,3.0
2022-04-09,650.95,29.0,6.0,1.0
2022-04-10,961.4,86.0,11.0,4.0
2022-04-11,735.1,18.0,5.0,3.0
2022-04-12,618.1,22.0,6.0,1.0
2022-04-13,568.95,21.0,0.0,1.0
2022-04-14,612.25,35.0,10.0,3.0
2022-04-15,785.35,19.0,8.0,1.0
2022-04-16,1580.75,82.0,13.0,0.0
2022-04-17,1399.05,136.0,6.0,1.0
2022-04-18,1679.85,108.0,16.0,2.0
2022-04-19,902.75,48.0,0.0,8.0
2022-04-20,738.15,34.0,7.0,2.0
2022-04-21,1067.95,35.0,5.0,5.0
2022-04-22,920.65,23.0,12.0,1.0
2022-04-23,768.0,41.0,4.0,0.0
2022-04-24,1143.3,85.0,12.0,1.0
2022-04-25,682.45,24.0,2.0,3.0
2022-04-26,635.15,20.0,3.0,1.0
2022-04-27,807.35,14.0,6.0,9.0
2022-04-28,649.3,14.0,3.0,2.0
2022-04-29,729.35,36.0,3.0,2.0
2022-04-30,1268.2,66.0,12.0,0.0
2022-05-01,1722.55,128.0,36.0,1.0
2022-05-02,926.2,34.0,4.0,3.0
2022-05-03,696.8,19.0,7.0,2.0
2022-05-04,729.3499999999999,24.0,5.0,3.5
2022-05-05,761.9,29.0,3.0,5.0
2022-05-06,882.0,13.0,19.0,5.0
2022-05-07,858.05,44.0,7.0,0.0
2022-05-08,1230.95,87.0,17.0,0.0
2022-05-09,704.85,17.0,3.0,3.0
2022-05-10,637.05,18.0,0.0,2.0
2022-05-11,505.1,17.0,9.0,1.0
2022-05-12,675.7,20.0,1.0,9.0
2022-05-13,745.25,12.0,5.0,6.0
2022-05-14,860.2,31.0,11.0,2.0
2022-05-15,1228.8,94.0,25.0,1.0
2022-05-16,695.6,27.0,4.0,3.0
2022-05-17,603.85,19.0,0.0,12.0
2022-05-18,617.3,17.0,12.0,3.0
2022-05-19,614.95,10.0,11.0,5.0
2022-05-20,681.35,21.0,4.0,6.0
2022-05-21,779.35,62.0,6.0,2.0
2022-05-22,1161.7,95.0,12.0,0.0
2022-05-23,642.0,18.0,1.0,0.0
2022-05-24,657.5,23.0,8.0,3.0
2022-05-25,835.85,19.0,10.0,3.0
2022-05-26,1753.25,109.0,11.0,2.0
2022-05-27,1916.8,139.0,6.0,4.0
2022-05-28,1965.35,112.0,12.0,1.0
2022-05-29,2392.6,190.0,33.0,0.0
2022-05-30,850.45,34.0,11.0,1.0
2022-05-31,682.8,11.0,7.0,5.0
2022-06-01,638.05,35.0,12.0,7.0
2022-06-02,594.9,22.0,6.0,3.0
2022-06-03,734.9,33.0,4.0,13.0
2022-06-04,1106.35,72.0,8.0,6.0
2022-06-05,1756.1,132.0,28.0,0.0
2022-06-06,1682.25,118.0,18.0,2.0
2022-06-07,630.2,15.0,9.0,5.0
2022-06-08,579.35,14.0,1.0,3.0
2022-06-09,602.3,29.0,5.0,5.0
2022-06-10,709.0,19.0,11.0,3.0
2022-06-11,1027.7,62.0,14.0,0.0
2022-06-12,1168.3,87.0,12.0,1.0
2022-06-13,710.8,20.0,2.0,2.0
2022-06-14,703.25,24.0,4.0,3.0
2022-06-15,620.6,23.0,2.0,3.0
2022-06-16,606.85,23.0,7.0,9.0
2022-06-17,640.3,17.0,9.0,1.0
2022-06-18,1027.05,75.0,10.0,3.0
2022-06-19,1523.0,114.0,25.0,3.0
2022-06-20,690.8,38.0,5.0,7.0
2022-06-21,616.8,36.0,4.0,4.0
2022-06-22,517.5,30.0,8.0,3.0
